DIGA,PT GARAM,9/1/2020,243624069,228624069
DIGA,PT GARAM,9/2/2020,207616783,192616783
DIGA,PT GARAM,9/3/2020,211809700,196809700
DIGA,PT GARAM,9/4/2020,227481643,212481643
DIGA,PT GARAM,9/5/2020,117518936,102518936
DIGA,PT GARAM,9/6/2020,83193299,68193299
DIGA,PT GARAM,9/7/2020,34786228,19786228
DIGA,PT GARAM,9/8/2020,137651404,122651404
DIGA,PT GARAM,9/9/2020,156776404,141776404
DIGA,PT GARAM,9/10/2020,153642184,138642184
DIGA,PT GARAM,9/11/2020,188733576,173733576
DIGA,PT GARAM,9/12/2020,205156153,190156153
DIGA,PT GARAM,9/13/2020,119877157,104877157
DIGA,PT GARAM,9/14/2020,223007396,208007396
DIGA,PT GARAM,9/15/2020,181210336,166210336
DIGA,PT GARAM,9/16/2020,22913443,7913443
DIGA,PT GARAM,9/17/2020,62280428,47280428
DIGA,PT GARAM,9/18/2020,39113854,24113854
DIGA,PT GARAM,9/19/2020,218293143,203293143
DIGA,PT GARAM,9/20/2020,144382252,129382252
DIGA,PT GARAM,9/21/2020,46436986,31436986
DIGA,PT GARAM,9/22/2020,179244873,164244873
DIGA,PT GARAM,9/23/2020,118170988,103170988
DIGA,PT GARAM,9/24/2020,23454012,8454012
DIGA,PT GARAM,9/25/2020,198547614,183547614
DIGA,PT GARAM,9/26/2020,134382952,119382952
DIGA,PT GARAM,9/27/2020,85350713,70350713
DIGA,PT GARAM,9/28/2020,104359729,89359729
DIGA,PT GARAM,9/29/2020,109744631,94744631
DIGA,PT GARAM,9/30/2020,86535836,71535836
DIGA,PT GARAM,10/1/2020,203766697,188766697
DIGA,PT GARAM,10/2/2020,241196931,226196931
DIGA,PT GARAM,10/3/2020,54176851,39176851
DIGA,PT GARAM,10/4/2020,241972795,226972795
DIGA,PT GARAM,10/5/2020,44241341,29241341
DIGA,PT GARAM,10/6/2020,152378777,137378777
DIGA,PT GARAM,10/7/2020,118517396,103517396
DIGA,PT GARAM,10/8/2020,76991947,61991947
DIGA,PT GARAM,10/9/2020,166727104,151727104
DIGA,PT GARAM,10/10/2020,231446369,216446369
DIGA,PT GARAM,10/11/2020,190238923,175238923
DIGA,PT GARAM,10/12/2020,93426194,78426194
DIGA,PT GARAM,10/13/2020,25510569,10510569
DIGA,PT GARAM,10/14/2020,201852311,186852311
DIGA,PT GARAM,10/15/2020,248083830,233083830
DIGA,PT GARAM,10/16/2020,148708398,133708398
DIGA,PT GARAM,10/17/2020,154235984,139235984
DIGA,PT GARAM,10/18/2020,71455151,56455151
DIGA,PT GARAM,10/19/2020,165194384,150194384
DIGA,PT GARAM,10/20/2020,185864869,170864869
DIGA,PT GARAM,10/21/2020,51405317,36405317
DIGA,PT GARAM,10/22/2020,115916094,100916094
DIGA,PT GARAM,10/23/2020,77843251,62843251
DIGA,PT GARAM,10/24/2020,139809424,124809424
DIGA,PT GARAM,10/25/2020,43359122,28359122
DIGA,PT GARAM,10/26/2020,244205998,229205998
DIGA,PT GARAM,10/27/2020,50849356,35849356
DIGA,PT GARAM,10/28/2020,169658638,154658638
DIGA,PT GARAM,10/29/2020,225605348,210605348
DIGA,PT GARAM,10/30/2020,243119497,228119497
DIGA,PT GARAM,10/31/2020,101063721,86063721
DIGA,PT GARAM,11/1/2020,73941580,58941580
DIGA,PT GARAM,11/2/2020,31110988,16110988
DIGA,PT GARAM,11/3/2020,94128191,79128191
DIGA,PT GARAM,11/4/2020,94101536,79101536
DIGA,PT GARAM,11/5/2020,99881167,84881167
DIGA,PT GARAM,11/6/2020,209280464,194280464
DIGA,PT GARAM,11/7/2020,78698642,63698642
DIGA,PT GARAM,11/8/2020,68642353,53642353
DIGA,PT GARAM,11/9/2020,202316578,187316578
DIGA,PT GARAM,11/10/2020,24812107,9812107
DIGA,PT GARAM,11/11/2020,135022733,120022733
DIGA,PT GARAM,11/12/2020,95435049,80435049
DIGA,PT GARAM,11/13/2020,25830412,10830412
DIGA,PT GARAM,11/14/2020,67866455,52866455
DIGA,PT GARAM,11/15/2020,171507401,156507401
DIGA,PT GARAM,11/16/2020,80565446,65565446
DIGA,PT GARAM,11/17/2020,31934953,16934953
DIGA,PT GARAM,11/18/2020,179904572,164904572
DIGA,PT GARAM,11/19/2020,155564325,140564325
DIGA,PT GARAM,11/20/2020,67730133,52730133
DIGA,PT GARAM,11/21/2020,61761346,46761346
DIGA,PT GARAM,11/22/2020,179146886,164146886
DIGA,PT GARAM,11/23/2020,179050789,164050789
DIGA,PT GARAM,11/24/2020,113435889,98435889
DIGA,PT GARAM,11/25/2020,228393935,213393935
DIGA,PT GARAM,11/26/2020,73967801,58967801
DIGA,PT GARAM,11/27/2020,159048960,144048960
DIGA,PT GARAM,11/28/2020,111676901,96676901
DIGA,PT GARAM,11/29/2020,225086581,210086581
DIGA,PT GARAM,11/30/2020,37894187,22894187
DIGA,PT GARAM,12/1/2020,165676679,150676679
DIGA,PT GARAM,12/2/2020,45482986,30482986
DIGA,PT GARAM,12/3/2020,86794745,71794745
DIGA,PT GARAM,12/4/2020,211251412,196251412
DIGA,PT GARAM,12/5/2020,66426425,51426425
DIGA,PT GARAM,12/6/2020,27174064,12174064
DIGA,PT GARAM,12/7/2020,130691788,115691788
DIGA,PT GARAM,12/8/2020,113438404,98438404
DIGA,PT GARAM,12/9/2020,49452718,34452718
DIGA,PT GARAM,12/10/2020,21542491,6542491
DIGA,PT GARAM,12/11/2020,30263717,15263717
